duplicate_group,canonical_row_id,duplicate_row_ids,duplicate_count,review_type,proposed_stable_catalogue_id,recommended_action,price_unit_conflict,units,prices,notes
product:external-cladding:m12-rod:m12-rod,quote-301,quote-1104,2,true duplicate candidate,product:external-cladding:m12-rod:m12-rod,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:external-cladding:mortar-mix-sand-cement-etc:mortar-mix-sand-cement-etc,quote-300,quote-1103,2,true duplicate candidate,product:external-cladding:mortar-mix-sand-cement-etc:mortar-mix-sand-cement-etc,review for later merge after price/unit validation,no,M3,,Repeated description appears to share one catalogue identity.
product:flooring-tiling:feature-tiles:feature-tiles,quote-1607,quote-1620,2,true duplicate candidate,product:flooring-tiling:feature-tiles:feature-tiles,review for later merge after price/unit validation,no,SHEET,,Repeated description appears to share one catalogue identity.
product:flooring-tiling:freeze-tiles-50-x-200:freeze-tiles-50-x-200,quote-1606,quote-1619,2,true duplicate candidate,product:flooring-tiling:freeze-tiles-50-x-200:freeze-tiles-50-x-200,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:plumbing-fixtures:baths:bath-arpon,quote-1602,quote-1615,2,room/context variant,product:plumbing-fixtures:baths:bath-arpon,keep separate rows; map to one catalogue item with row context/snapshot,no,M2,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:baths:bath-hob,quote-1603,quote-1616,2,room/context variant,product:plumbing-fixtures:baths:bath-hob,keep separate rows; map to one catalogue item with row context/snapshot,no,M2,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:showers:900-x-900-x-2-0-shower-3-6-m2-or-6-6-m2,quote-1599,quote-1612,2,true duplicate candidate,product:plumbing-fixtures:showers:900-x-900-x-2-0-shower-3-6-m2-or-6-6-m2,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:plumbing-fixtures:tapware:kohler-july-mixer,quote-1682,quote-1810,2,room/context variant,product:plumbing-fixtures:tapware:kohler-july-mixer,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:kohler-singular,quote-1679,quote-1807,2,room/context variant,product:plumbing-fixtures:tapware:kohler-singular,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:oliveri-single-lever-gooseneck,quote-1685,quote-1813,2,room/context variant,product:plumbing-fixtures:tapware:oliveri-single-lever-gooseneck,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:oliveri-single-lever-mixer,quote-1684,quote-1812,2,room/context variant,product:plumbing-fixtures:tapware:oliveri-single-lever-mixer,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:raymor-torino-gooseneck,quote-1678,quote-1806,2,room/context variant,product:plumbing-fixtures:tapware:raymor-torino-gooseneck,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:raymor-torino-multi-function-mixer,quote-1680,quote-1808,2,room/context variant,product:plumbing-fixtures:tapware:raymor-torino-multi-function-mixer,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:raymor-victoria-spray,quote-1676,quote-1804,2,room/context variant,product:plumbing-fixtures:tapware:raymor-victoria-spray,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:sink-mixer-artesian-tradelink,quote-1681,quote-1809,2,room/context variant,product:plumbing-fixtures:tapware:sink-mixer-artesian-tradelink,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:toilets:toilet-roll-holder,quote-1825,quote-1834,2,true duplicate candidate,product:plumbing-fixtures:toilets:toilet-roll-holder,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
