product_id,brand,family,model,image_status,exact_model_source_url,source_organisation,required_action
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,freestanding-cookers,BFS90WX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,freestanding-cookers,GG90S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:freestanding-cookers:omega:of916fx,Omega,freestanding-cookers,OF916FX,pending-licence,https://omegaappliances.com.au/product/90cm-9-function-freestanding-oven-of916fx/,Omega Appliances Australia,Confirm supplier/manufacturer image licence or approved direct asset before storing primary image.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,ovens,FA5834HIXAAUS,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,ovens,FI9 891 SP IX A AUS,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:blanco:bose65xm,Blanco,ovens,BOSE65XM,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:blanco:bose90x,Blanco,ovens,BOSE90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:euromaid:eo605dtb,Euromaid,ovens,EO605DTB,pending-licence,https://www.euromaid.com/en-au/60cm-5-function-built-in-oven-dark-stainless,Euromaid Australia,Confirm supplier/manufacturer image licence or approved direct asset before storing primary image.
product:appliances:ovens:euromaid:eo916astb,Euromaid,ovens,EO916ASTB,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:omega:obo660x,Omega,ovens,OBO660X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:omega:obo960x1,Omega,ovens,OBO960X1,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:smeg:sf64m3tvx,Smeg,ovens,SF64M3TVX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:smeg:sfpa9395x1,Smeg,ovens,SFPA9395X1,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,ovens,WVE916SC,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:arhc60x,Ariston,rangehoods,ARHC60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:arhc90x,Ariston,rangehoods,ARHC90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:arhs60x,Ariston,rangehoods,ARHS60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:arhs90x,Ariston,rangehoods,ARHS90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:aru60x,Ariston,rangehoods,ARU60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:ariston:aru90x,Ariston,rangehoods,ARU90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:brc60x,Blanco,rangehoods,BRC60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:brc90x,Blanco,rangehoods,BRC90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:bru53x,Blanco,rangehoods,BRU53X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:bru60x,Blanco,rangehoods,BRU60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:bru90ux,Blanco,rangehoods,BRU90UX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:blanco:bru90x,Blanco,rangehoods,BRU90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,rangehoods,CPT6S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,rangehoods,CPT9MB,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:cs60s,Euromaid,rangehoods,CS60S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:fs90s,Euromaid,rangehoods,FS90S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:rs6s,Euromaid,rangehoods,RS6S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:euromaid:rs9s,Euromaid,rangehoods,RS9S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:orc60x,Omega,rangehoods,ORC60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:orc90x,Omega,rangehoods,ORC90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:orf60x,Omega,rangehoods,ORF60X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:orf90x,Omega,rangehoods,ORF90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:ort6wba,Omega,rangehoods,ORT6WBA,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:omega:ort9wxa,Omega,rangehoods,ORT9WXA,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:smeg:pum901x,Smeg,rangehoods,PUM901X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:smeg:sth600x,Smeg,rangehoods,STH600X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:smeg:sth900x,Smeg,rangehoods,STH900X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:rangehoods:westinghouse:wri930sb,Westinghouse,rangehoods,WRI930SB,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
