quotation_row_id,quotation_code,section,current_description,proposed_source_type,unresolved_reason,duplicate_group,recommended_action,notes
quote-1302,1302,STAIRS,HANDRAILS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1366,1366,SHELVING,LINEN SHELVING - 4 SHELVES,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1369,1369,SHELVING,BANK OF SHELVES,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1429,1429,CABINET MAKER,STANDARD KITCHEN TYPE 1,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1433,1433,CABINET MAKER,STANDARD KITCHEN TYPE 2,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1437,1437,CABINET MAKER,STANDARD KITCHEN TYPE 3,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1442,1442,MISC CABINETRY,KITCHEN CABINETS - BASE,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1443,1443,MISC CABINETRY,KITCHEN CABINETS - O/HEADS,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1444,1444,MISC CABINETRY,KITCHEN TOWER,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1446,1446,MISC CABINETRY,POT DRAWS SET OF 2,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1447,1447,MISC CABINETRY,RAISED SERVERY,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1448,1448,MISC CABINETRY,PANTRY,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1449,1449,MISC CABINETRY,VANITY UNITS 900mm WHITE,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1450,1450,MISC CABINETRY,VANITY UNITS 900mm COLOUR,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1453,1453,MISC CABINETRY,LAUNDRY BROOM CLOSET 900mm,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1454,1454,MISC CABINETRY,LAUNDRY BENCH,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1456,1456,MISC CABINETRY,ADD FOR WATERFALL ENDS,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1457,1457,MISC CABINETRY,KITCHEN SPLASHBACK,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1458,1458,MISC CABINETRY,EXTRA FOR CREATEC GLOSS BOARD,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1465,1465,ARC,ARC BASE PACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1469,1469,ARC,SLIDEOUT RECIRCULATING RANGHOOD (IRR6SE1),unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1472,1472,EUROMAID,EUROMAID BASE PACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1481,1481,ARISTON,ARISTON BASE PACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1487,1487,ARISTON,ARISTON 900mm UPRIGHT STOVE CP059MDx,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1489,1489,ARISTON,ARISTON 600mm SLIDE OUT RANGHOOD (REC),unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1504,1504,OMEGA,OMEGA OF901XA 900mm s/steel multifunction electric/gas upright range,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1516,1516,BLANCO,BLANCO BASE PACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1525,1525,BLANCO UPGRADE OPTIONS,BLANCO FD9085WX 900mm s/steel multifunction electric/gas upright range,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1537,1537,SMEG,BASE SMEG PACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1604,1604,ENSUITE,SPLASHBACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1605,1605,ENSUITE,SOAP HOLDER,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1608,1608,ENSUITE,OTHER,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1617,1617,ENSUITE,SPLASHBACK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1618,1618,ENSUITE,SOAP HOLDER,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1621,1621,ENSUITE,OTHER,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1637,1637,OTHER ROOM/S,OTHER,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1642,1642,KITCHEN,OTHER,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1794,1794,LAUNDRY TUBS,45L S/S TUB AND PROJECT METAL CABINET,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1795,1795,LAUNDRY TUBS,35L NUGLEM BENCHLINE S/S DROP IN TUB,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1796,1796,LAUNDRY TUBS,45L JAVA DROP IN 600 X 500 TUB,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1797,1797,LAUNDRY TUBS,METRO UTILITY 1 T/H L/HAND 35L NO BYPASS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1798,1798,LAUNDRY TUBS,METRO UTILITY 1 T/H R/HAND 35L NO BYPASS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1799,1799,LAUNDRY TUBS,METRO UTILITY NO T/H 35L NO BYPASS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1800,1800,LAUNDRY TUBS,OLIVERI 45 DROP IN - WINNING APPLIANCES,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1823,1823,PROJIX,GLASS SHELF,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1824,1824,PROJIX,SOAP BASKET,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1826,1826,PROJIX,TOWEL RAIL 600mm DOUBLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1827,1827,PROJIX,TOWEL RAIL 900mm DOUBLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1828,1828,PROJIX,TOWEL RAIL 600mm SINGLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1829,1829,PROJIX,TOWEL RAIL 900mm SINGLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1830,1830,PROJIX,TOWEL RING,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1833,1833,LUCERNE,SOAP HOLDER,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1836,1836,LUCERNE,TOWEL RAIL 750mm DOUBLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1837,1837,LUCERNE,TOWEL RAIL 750mm SINGLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1838,1838,LUCERNE,TOWEL RING,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1839,1839,LUCERNE,GLASS SHELF,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1845,1845,SINGULIER,TOWEL RAIL 600mm DOUBLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1846,1846,SINGULIER,TOWEL RAIL 600mm SINGLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1847,1847,SINGULIER,TOWEL RAIL 750mm SINGLE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1848,1848,SINGULIER,TOWEL RING,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1849,1849,SINGULIER,GLASS SHELF,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1866,1866,HOT WATER,DUX ENDURANCE 26L50 GAS INSTANT HWS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1867,1867,HOT WATER,WALL BOX,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1868,1868,HOT WATER,BOSCH 21 L/MIN - WINNING APPLIANCES,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1869,1869,HOT WATER,BOSCH 26 L/MIN - WINNING APPLIANCES,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1871,1871,HOT WATER,RHEEM 3.6kw HEAT PUMP SIDE MOUNT,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1872,1872,HOT WATER,RHEEM 300HI ROOF MOUNTED SOLAR SYSTEM,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1873,1873,HOT WATER,RHEEM LO-LINE SPILT SOLAR SYSTEM,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1874,1874,HOT WATER,TEMPERTING VALUE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1875,1875,HOT WATER,ROOF PLONK,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1876,1876,HOT WATER,PRESSURE VALVE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1891,1891,LIGHTFITTINGS,FLURO CEILING LIGHTS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1892,1892,LIGHTFITTINGS,OYSTER LIGHTS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1893,1893,LIGHTFITTINGS,HANGING LIGHTS - KITCHEN,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1894,1894,LIGHTFITTINGS,SINGLE CEILING FLURO,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1895,1895,LIGHTFITTINGS,DOUBLE CEILING FLURO LIGHTS - LARGE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1896,1896,LIGHTFITTINGS,BUNKER LIGHTS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1897,1897,LIGHTFITTINGS,WALL LIGHTS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1914,1914,AIR CONDITIONERS,DUCTED AIR CONDITIONER,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1925,1925,MIRRORS,FLAT POLISHED,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1927,1927,MIRRORS,BEVELLED EDGE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1992,1992,LANDSCAPING,SITE BATTERS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1995,1995,LANDSCAPING,FRONT FENCE GATES,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1996,1996,LANDSCAPING,TIMBER SLAT FENCE PANELS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1997,1997,LANDSCAPING,STD TIMBER SLAT FENCING,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1998,1998,LANDSCAPING,GATES,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1999,1999,LANDSCAPING,TIMBER RETAINER WALLS 900 HIGH,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2000,2000,LANDSCAPING,TIMBER RETAINER WALLS 1200 HIGH,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2001,2001,LANDSCAPING,TIMBER RETAINER WALLS 1500 HIGH,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2002,2002,LANDSCAPING,SWIMMING POOLS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2003,2003,LANDSCAPING,POOL FENCING PANELS 1.8M PANELS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2004,2004,LANDSCAPING,POOL GATE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2005,2005,LANDSCAPING,EXTERIOR PAVING,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2006,2006,LANDSCAPING,TURF UNDERLAY,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2015,2015,FLOORCOVERINGS,CARPET,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2018,2018,FLOORCOVERINGS,SOLID TIMBER FLOORING - MID RANGE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2030,2030,MISCELLANEOUS,DOG BOARDS TO LOWER HOUSE,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2031,2031,MISCELLANEOUS,security screens,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2033,2033,MISCELLANEOUS,WALL MOUNTED CLOTHES LINE,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2034,2034,MISCELLANEOUS,TV ARIAL WITH ELECTRIC BOOSTER,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2036,2036,MISCELLANEOUS,LETTERBOX,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2037,2037,MISCELLANEOUS,timber privacy screens,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2038,2038,MISCELLANEOUS,DUCTED VACUUM SYSTEM (3 POINT),unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2039,2039,MISCELLANEOUS,DUCTED VACUUM SYSTEM (4 POINT),unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2040,2040,MISCELLANEOUS,SECURITY SCREENS,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-2042,2042,MISCELLANEOUS,AIR CONDITIONING,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
