quotation_row_id,quotation_code,stage_id,category_id,subcategory_id,current_description,unit,quantity,section,proposed_source_type,proposed_source_id,client_selectable,existing_product_library_match,existing_estimating_catalogue_match,explicit_estimating_master_match,match_confidence,duplicate_group,unresolved_reason,migration_status,notes
quote-34,34,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,MANAGEMENT FEE,ITEM,,CERTIFIERS COSTS,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-35,35,stage:preliminaries,category:plumbing-fixtures,subcategory:statutory-fees,PLUMBING SCRUTINY/DESIGN,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:plumbing-fixtures:statutory-fees:plumbing-scrutiny-design,false,,quote-35,,derived-runtime,estimating:plumbing-fixtures:statutory-fees:plumbing-scrutiny-design,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-36,36,stage:preliminaries,category:plumbing-fixtures,subcategory:statutory-fees,PLUMBING INSPECTIONS,POINTS,,CERTIFIERS COSTS,estimating-item,estimating:plumbing-fixtures:statutory-fees:plumbing-inspections,false,,quote-36,,derived-runtime,estimating:plumbing-fixtures:statutory-fees:plumbing-inspections,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-37,37,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,WATER CONNECTION - 20mm,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:water-connection-20mm,false,,quote-37,,derived-runtime,estimating:preliminaries:statutory-fees:water-connection-20mm,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-38,38,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,SEWERAGE CONNECTION,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:sewerage-connection,false,,quote-38,,derived-runtime,estimating:preliminaries:statutory-fees:sewerage-connection,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-41,41,stage:unassigned,category:project-management,subcategory:item,ITEM,M2,QTY,PROJECT MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-44,44,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,PROJECT MANAGEMENT FEE,ITEM,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-45,45,stage:preliminaries,category:preliminaries,subcategory:site-supervision,SITE SUPERVISION,ITEM,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-46,46,stage:base,category:preliminaries,subcategory:site-classification,SITE CLASSIFICATION,HR,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-47,47,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,RISK ASSESSMENT FEE,ITEM,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-48,48,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,CONTRACT ADMINISTRATION FEE,ITEM,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-49,49,stage:unassigned,category:management,subcategory:material-collections,MATERIAL COLLECTIONS,HR,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-50,50,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,"QUOTATION, QUANTITY SURVEYING FEES",HR,,MANAGEMENT,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-55,55,stage:unassigned,category:base-stage-labour,subcategory:labour,STUMPS - SINGLE STOREY,EACH,,Base Stage Labour,estimating-item,estimating:base-stage-labour:labour:stumps-single-storey,false,,quote-55,,derived-runtime,estimating:base-stage-labour:labour:stumps-single-storey,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-56,56,stage:unassigned,category:base-stage-labour,subcategory:labour,STUMPS - HIGH SET HOUSE,EACH,,Base Stage Labour,estimating-item,estimating:base-stage-labour:labour:stumps-high-set-house,false,,quote-56,,derived-runtime,estimating:base-stage-labour:labour:stumps-high-set-house,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-57,57,stage:frame,category:frame,subcategory:labour,BEARERS & JOISTS,M2,,Base Stage Labour,estimating-item,estimating:frame:labour:bearers-and-joists,false,,quote-57,,derived-runtime,estimating:frame:labour:bearers-and-joists,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-58,58,stage:frame,category:frame,subcategory:labour,BEARERS & JOISTS ADD FOR HIGH SET HOUSE,M2,,Base Stage Labour,estimating-item,estimating:frame:labour:bearers-and-joists-add-for-high-set-house,false,,quote-58,,derived-runtime,estimating:frame:labour:bearers-and-joists-add-for-high-set-house,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-59,59,stage:fix-out,category:flooring-tiling,subcategory:labour,T & G FLOORING,M2,,Base Stage Labour,estimating-item,estimating:flooring-tiling:labour:t-and-g-flooring,false,,quote-59,,derived-runtime,estimating:flooring-tiling:labour:t-and-g-flooring,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-60,60,stage:fix-out,category:flooring-tiling,subcategory:labour,SHEET FLOORING,M2,,Base Stage Labour,estimating-item,estimating:flooring-tiling:labour:sheet-flooring,false,,quote-60,,derived-runtime,estimating:flooring-tiling:labour:sheet-flooring,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-61,61,stage:external,category:flooring-tiling,subcategory:labour,DECKING/COMPRESSED FLOORING,M2,,Base Stage Labour,estimating-item,estimating:flooring-tiling:labour:decking-compressed-flooring,false,,quote-61,,derived-runtime,estimating:flooring-tiling:labour:decking-compressed-flooring,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-62,62,stage:frame,category:frame,subcategory:labour,PATIO JOISTS,EACH,,Base Stage Labour,estimating-item,estimating:frame:labour:patio-joists,false,,quote-62,,derived-runtime,estimating:frame:labour:patio-joists,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-66,66,stage:frame,category:frame,subcategory:labour,STANDARD WALL FLICK OUT,EACH,,Frame Stage Labour,estimating-item,estimating:frame:labour:standard-wall-flick-out,false,,quote-66,,derived-runtime,estimating:frame:labour:standard-wall-flick-out,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-67,67,stage:frame,category:frame,subcategory:labour,CONSTRUCT STICK FRAMES,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:construct-stick-frames,false,,quote-67,,derived-runtime,estimating:frame:labour:construct-stick-frames,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-68,68,stage:frame,category:frame,subcategory:labour,EXTRA COST FOR 2.7m WALLS,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:extra-cost-for-2-7m-walls,false,,quote-68,,derived-runtime,estimating:frame:labour:extra-cost-for-2-7m-walls,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-69,69,stage:frame,category:frame,subcategory:labour,EXTRA COST FOR 3.0m WALLS,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:extra-cost-for-3-0m-walls,false,,quote-69,,derived-runtime,estimating:frame:labour:extra-cost-for-3-0m-walls,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-70,70,stage:frame,category:frame,subcategory:labour,INSTALL STRUCTURAL BEAM,EACH,,Frame Stage Labour,estimating-item,estimating:frame:labour:install-structural-beam,false,,quote-70,,derived-runtime,estimating:frame:labour:install-structural-beam,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-71,71,stage:frame,category:frame,subcategory:labour,INSTALL TIMBER POST,EACH,,Frame Stage Labour,estimating-item,estimating:frame:labour:install-timber-post,false,,quote-71,,derived-runtime,estimating:frame:labour:install-timber-post,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-72,72,stage:frame,category:frame,subcategory:labour,SET POST IN STIRRUP INC. DIG HOLE AND CONC.,EACH,,Frame Stage Labour,estimating-item,estimating:frame:labour:set-post-in-stirrup-inc-dig-hole-and-conc,false,,quote-72,,derived-runtime,estimating:frame:labour:set-post-in-stirrup-inc-dig-hole-and-conc,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-73,73,stage:frame,category:windows-doors,subcategory:labour,INSTALL WINDOWS,EACH,-,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-74,74,stage:frame,category:windows-doors,subcategory:labour,ADD FOR SECOND STOREY WINDOWS,EACH,,Frame Stage Labour,assembly,assembly:windows-doors:labour:add-for-second-storey-windows,false,,quote-74,,derived-runtime,assembly:windows-doors:labour:add-for-second-storey-windows,,requires-assembly-model,Product/resource bundle; needs assembly template rather than single catalogue row.
quote-75,75,stage:frame,category:plumbing-fixtures,subcategory:labour,PLUMB & STRAIGHTEN & PLANE WALLS,ITEM,,Frame Stage Labour,estimating-item,estimating:plumbing-fixtures:labour:plumb-and-straighten-and-plane-walls,false,,quote-75,,derived-runtime,estimating:plumbing-fixtures:labour:plumb-and-straighten-and-plane-walls,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-76,76,stage:frame,category:frame,subcategory:labour,RAKED CEILINGS - HAND PITCH,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:raked-ceilings-hand-pitch,false,,quote-76,,derived-runtime,estimating:frame:labour:raked-ceilings-hand-pitch,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-77,77,stage:frame,category:roofing,subcategory:labour,STAND & INSTALL ROOF TRUSSES,M2,,Frame Stage Labour,estimating-item,estimating:roofing:labour:stand-and-install-roof-trusses,false,,quote-77,,derived-runtime,estimating:roofing:labour:stand-and-install-roof-trusses,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-78,78,stage:frame,category:frame,subcategory:labour,ADD FOR SECOND STOREY TRUSSES,M2,-,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-79,79,stage:frame,category:flooring-tiling,subcategory:labour,ADD FOR TILE ROOF TRUSSES,M2,,Frame Stage Labour,assembly,assembly:flooring-tiling:labour:add-for-tile-roof-trusses,false,,quote-79,,derived-runtime,assembly:flooring-tiling:labour:add-for-tile-roof-trusses,,requires-assembly-model,Product/resource bundle; needs assembly template rather than single catalogue row.
quote-80,80,stage:frame,category:flooring-tiling,subcategory:labour,INSTALL CEILING BATTENS GROUND FLOOR,M2,-,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-30023,30023,stage:frame,category:frame,subcategory:labour,INSTALL CEILING BATTENS SECOND LEVEL,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:install-ceiling-battens-second-level,false,,quote-30023,,derived-runtime,estimating:frame:labour:install-ceiling-battens-second-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-30024,30024,stage:frame,category:frame,subcategory:labour,INSTALL CEILING BATTENS THIRD LEVEL,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:install-ceiling-battens-third-level,false,,quote-30024,,derived-runtime,estimating:frame:labour:install-ceiling-battens-third-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-81,81,stage:frame,category:frame,subcategory:labour,"GABLES - CUT, NOG & TRIM PER GABLE",EACH,,Frame Stage Labour,estimating-item,estimating:frame:labour:gables-cut-nog-and-trim-per-gable,false,,quote-81,,derived-runtime,estimating:frame:labour:gables-cut-nog-and-trim-per-gable,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-82,82,stage:frame,category:roofing,subcategory:labour,PORCH/VERANDAH ROOF & CEILING FRAMEWORK,M2,-,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-83,83,stage:frame,category:frame,subcategory:labour,CONSTRUCT FRONT DECORATIVE AWNING,ITEM,-,Frame Stage Labour,estimating-item,estimating:frame:labour:construct-front-decorative-awning,false,,quote-83,,derived-runtime,estimating:frame:labour:construct-front-decorative-awning,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-84,84,stage:frame,category:roofing,subcategory:labour,CONSTRUCT ALFRESCO AND BOX GUTTERS,ITEM,-,Frame Stage Labour,assembly,assembly:roofing:labour:construct-alfresco-and-box-gutters,false,,quote-84,,derived-runtime,assembly:roofing:labour:construct-alfresco-and-box-gutters,,requires-assembly-model,Product/resource bundle; needs assembly template rather than single catalogue row.
quote-85,85,stage:frame,category:frame,subcategory:labour,CONSTRUCT PARAPET WALLS,ITEM,,Frame Stage Labour,estimating-item,estimating:frame:labour:construct-parapet-walls,false,,quote-85,,derived-runtime,estimating:frame:labour:construct-parapet-walls,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-86,86,stage:frame,category:frame,subcategory:labour,INSTALL STEEL POST TO 3.0M,ITEM,,Frame Stage Labour,estimating-item,estimating:frame:labour:install-steel-post-to-3-0m,false,,quote-86,,derived-runtime,estimating:frame:labour:install-steel-post-to-3-0m,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-87,87,stage:frame,category:frame,subcategory:labour,LABOUR FOR STRUCTURAL STEEL INSTALLATION,ITEM,,Frame Stage Labour,estimating-item,estimating:frame:labour:labour-for-structural-steel-installation,false,,quote-87,,derived-runtime,estimating:frame:labour:labour-for-structural-steel-installation,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-88,88,stage:frame,category:frame,subcategory:labour,TIE DOWN & SHEET BRACING GROUND LEVEL,M2,,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-30020,30020,stage:frame,category:frame,subcategory:labour,TIE DOWN & SHEET BRACING SECOND LEVEL,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:tie-down-and-sheet-bracing-second-level,false,,quote-30020,,derived-runtime,estimating:frame:labour:tie-down-and-sheet-bracing-second-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-30021,30021,stage:frame,category:frame,subcategory:labour,TIE DOWN & SHEET BRACING THIRD LEVEL,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:tie-down-and-sheet-bracing-third-level,false,,quote-30021,,derived-runtime,estimating:frame:labour:tie-down-and-sheet-bracing-third-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-89,89,stage:frame,category:frame,subcategory:labour,EXTRA FOR W41 (N3) WIND RATING,M2,,Frame Stage Labour,estimating-item,estimating:frame:labour:extra-for-w41-n3-wind-rating,false,,quote-89,,derived-runtime,estimating:frame:labour:extra-for-w41-n3-wind-rating,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-90,90,stage:frame,category:flooring-tiling,subcategory:labour,LABOUR - STAND EXTERIOR WALLS - GROUND FLOOR,LM,,Frame Stage Labour,estimating-item,estimating:flooring-tiling:labour:labour-stand-exterior-walls-ground-floor,false,,quote-90,,derived-runtime,estimating:flooring-tiling:labour:labour-stand-exterior-walls-ground-floor,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-91,91,stage:frame,category:frame,subcategory:labour,LABOUR - EXTERIOR WALLS - SECOND LEVEL,LM,,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-30019,30019,stage:frame,category:frame,subcategory:labour,LABOUR - EXTERIOR WALLS - THIRD LEVEL,LM,,Frame Stage Labour,estimating-item,estimating:frame:labour:labour-exterior-walls-third-level,false,,quote-30019,,derived-runtime,estimating:frame:labour:labour-exterior-walls-third-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-92,92,stage:frame,category:frame,subcategory:labour,LABOUR - STAND INTERIOR WALLS - LOWER,LM,,Frame Stage Labour,estimating-item,estimating:frame:labour:labour-stand-interior-walls-lower,false,,quote-92,,derived-runtime,estimating:frame:labour:labour-stand-interior-walls-lower,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-93,93,stage:frame,category:frame,subcategory:labour,LABOUR - INTERIOR WALLS - SECOND LEVEL,LM,,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-30022,30022,stage:frame,category:frame,subcategory:labour,LABOUR - INTERIOR WALLS - THIRD LEVEL,LM,,Frame Stage Labour,estimating-item,estimating:frame:labour:labour-interior-walls-third-level,false,,quote-30022,,derived-runtime,estimating:frame:labour:labour-interior-walls-third-level,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-94,94,stage:frame,category:frame,subcategory:labour,EXTRA COST FOR 2.7m WALLS,LM,-,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-95,95,stage:frame,category:frame,subcategory:labour,EXTRA COST FOR 3.0m WALLS,LM,,Frame Stage Labour,estimating-item,estimating:frame:labour:extra-cost-for-3-0m-walls,false,,quote-95,,derived-runtime,estimating:frame:labour:extra-cost-for-3-0m-walls,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-96,96,stage:frame,category:cabinetry,subcategory:cabinet-units-components,LABOUR TO FRAME BULKHEADS,ITEM,,Frame Stage Labour,estimating-item,estimating:cabinetry:cabinet-units-components:labour-to-frame-bulkheads,false,,quote-96,,derived-runtime,estimating:cabinetry:cabinet-units-components:labour-to-frame-bulkheads,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-97,97,stage:frame,category:flooring-tiling,subcategory:labour,LABOUR TO INSTALL FLOORING SUPPORT BEAMS,EACH,,Frame Stage Labour,estimating-item,estimating:flooring-tiling:labour:labour-to-install-flooring-support-beams,false,,quote-97,,derived-runtime,estimating:flooring-tiling:labour:labour-to-install-flooring-support-beams,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-98,98,stage:frame,category:flooring-tiling,subcategory:labour,LABOUR TO INSTALL FLOOR JOISTS,M2,,Frame Stage Labour,estimating-item,estimating:flooring-tiling:labour:labour-to-install-floor-joists,false,,quote-98,,derived-runtime,estimating:flooring-tiling:labour:labour-to-install-floor-joists,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-99,99,stage:frame,category:flooring-tiling,subcategory:labour,LABOUR TO LAY SHEET FLOORING,M2,,Frame Stage Labour,estimating-item,estimating:flooring-tiling:labour:labour-to-lay-sheet-flooring,false,,quote-99,,derived-runtime,estimating:flooring-tiling:labour:labour-to-lay-sheet-flooring,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-100,100,stage:frame,category:frame,subcategory:labour,CHIPPY HIGHT SET ALLOWANCE,ITEM,,Frame Stage Labour,allowance,allowance:frame:labour:chippy-hight-set-allowance,false,,quote-100,,derived-runtime,estimating:frame:labour:chippy-hight-set-allowance,,requires-review,Allowance or provisional row; not an actual product model.
quote-101,101,stage:frame,category:plumbing-fixtures,subcategory:baths,LABOUR TO INSTALL STANDARD BATH,ITEM,,Frame Stage Labour,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-102,102,stage:frame,category:plumbing-fixtures,subcategory:baths,FABRICATE BATH PODIUM,ITEM,,Frame Stage Labour,assembly,assembly:plumbing-fixtures:baths:fabricate-bath-podium,false,,quote-102,,derived-runtime,assembly:plumbing-fixtures:baths:fabricate-bath-podium,,requires-assembly-model,Product/resource bundle; needs assembly template rather than single catalogue row.
quote-103,103,stage:frame,category:frame,subcategory:labour,LABOUR TO INSTALL SPA AND HOB,ITEM,,Frame Stage Labour,estimating-item,estimating:frame:labour:labour-to-install-spa-and-hob,false,,quote-103,,derived-runtime,estimating:frame:labour:labour-to-install-spa-and-hob,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-104,104,stage:frame,category:windows-doors,subcategory:labour,INSTALL CAVITY DOOR CAGE,ITEM,,Frame Stage Labour,estimating-item,estimating:windows-doors:labour:install-cavity-door-cage,false,,quote-104,,derived-runtime,estimating:windows-doors:labour:install-cavity-door-cage,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
