quotation_row_id,quotation_code,classification,current_description,unit,category_id,subcategory_id,product_library_section,product_library_section_name,proposed_source_id,existing_product_library_match,recommended_action,notes
quote-817,817,product,ACCESSORIES,EACH,category:roofing,subcategory:accessories,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:accessories:accessories,,review import candidate before creation,Physical product/material candidate.
quote-818,818,product,GUTTER & FASCIA BRACKETS,EACH,category:roofing,subcategory:gutter-and-fascia-brackets,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:gutter-and-fascia-brackets:gutter-and-fascia-brackets,,review import candidate before creation,Physical product/material candidate.
quote-819,819,product,ANTICON,ROLL,category:roofing,subcategory:anticon,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:anticon:anticon,,review import candidate before creation,Physical product/material candidate.
quote-1131,1131,product,PM 100 RENDER (POLYSTYRENE),M2,category:roofing,subcategory:pm-100-render-polystyrene,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:pm-100-render-polystyrene:pm-100-render-polystyrene,,review import candidate before creation,Physical product/material candidate.
quote-1132,1132,product,SANDCOAT PRIMER,M2,category:roofing,subcategory:sandcoat-primer,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:sandcoat-primer:sandcoat-primer,,review import candidate before creation,Physical product/material candidate.
quote-1134,1134,product,MESH,M2,category:roofing,subcategory:mesh,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:mesh:mesh,,review import candidate before creation,Physical product/material candidate.
quote-1135,1135,product,POLYMER RENDER (BLUEBOARD),M2,category:roofing,subcategory:polymer-render-blueboard,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:polymer-render-blueboard:polymer-render-blueboard,,review import candidate before creation,Physical product/material candidate.
quote-1253,1253,product,PLASTERING,QUOTE,category:roofing,subcategory:plastering,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:plastering:plastering,,review import candidate before creation,Physical product/material candidate.
quote-1255,1255,product,VILLA BOARD,M2,category:roofing,subcategory:villa-board,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:villa-board:villa-board,,review import candidate before creation,Physical product/material candidate.
quote-1257,1257,product,CORNER TAPE,ROLL,category:plumbing-fixtures,subcategory:tapware,plumbing-fixtures-fittings,Plumbing Fixtures & Fittings,product:plumbing-fixtures:tapware:corner-tape,,review import candidate before creation,Physical product/material candidate.
quote-1259,1259,product,TOP COAT,20 KG,category:roofing,subcategory:top-coat,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:top-coat:top-coat,,review import candidate before creation,Physical product/material candidate.
quote-1260,1260,product,CORNICE CEMENT,20 KG,category:roofing,subcategory:cornice-cement,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:cornice-cement:cornice-cement,,review import candidate before creation,Physical product/material candidate.
quote-1008,1008,product,40MM WALL CLADDING -2400 X 1200,SHEET,category:external-cladding,subcategory:40mm-wall-cladding-2400-x-1200,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:40mm-wall-cladding-2400-x-1200:40mm-wall-cladding-2400-x-1200,,review import candidate before creation,Physical product/material candidate.
quote-917,917,product,1200 PIVOT DOOR PC SUM,PC,category:windows-doors,subcategory:1200-pivot-door-pc-sum,windows-external-doors,Windows & External Doors,product:windows-doors:1200-pivot-door-pc-sum:1200-pivot-door-pc-sum,,review import candidate before creation,Physical product/material candidate.
quote-931,931,product,EXTERIOR DOOR JAMBS,EACH,category:windows-doors,subcategory:exterior-door-jambs,windows-external-doors,Windows & External Doors,product:windows-doors:exterior-door-jambs:exterior-door-jambs,,review import candidate before creation,Physical product/material candidate.
quote-932,932,product,DOUBLE FRONT DOOR JAMB,EACH,category:windows-doors,subcategory:double-front-door-jamb,windows-external-doors,Windows & External Doors,product:windows-doors:double-front-door-jamb:double-front-door-jamb,,review import candidate before creation,Physical product/material candidate.
quote-935,935,product,DOOR JAMB WITH 1 SIDE LIGHT,EACH,category:electrical,subcategory:light-fittings,electrical-fixtures-fittings,Electrical Fixtures & Fittings,product:electrical:light-fittings:door-jamb-with-1-side-light,,review import candidate before creation,Physical product/material candidate.
quote-936,936,product,DOOR JAMB WITH 2 SIDE LIGHTS,EACH,category:electrical,subcategory:light-fittings,electrical-fixtures-fittings,Electrical Fixtures & Fittings,product:electrical:light-fittings:door-jamb-with-2-side-lights,,review import candidate before creation,Physical product/material candidate.
quote-937,937,product,DOUBLE DOOR JAMB WITH 2 SIDE LIGHTS,EACH,category:electrical,subcategory:light-fittings,electrical-fixtures-fittings,Electrical Fixtures & Fittings,product:electrical:light-fittings:double-door-jamb-with-2-side-lights,,review import candidate before creation,Physical product/material candidate.
quote-940,940,product,"HUME ILLUSION 2040 x 1200 (XIL 21,22,23,24,25,26)",EACH,category:windows-doors,subcategory:hume-illusion-2040-x-1200-xil-21-22-23-24-25-26,windows-external-doors,Windows & External Doors,product:windows-doors:hume-illusion-2040-x-1200-xil-21-22-23-24-25-26:hume-illusion-2040-x-1200-xil-21-22-23-24-25-26,,review import candidate before creation,Physical product/material candidate.
quote-941,941,product,"HUME ILLUSION 2040 x 820 (XIL 1,2,3,4,5,6)",EACH,category:windows-doors,subcategory:hume-illusion-2040-x-820-xil-1-2-3-4-5-6,windows-external-doors,Windows & External Doors,product:windows-doors:hume-illusion-2040-x-820-xil-1-2-3-4-5-6:hume-illusion-2040-x-820-xil-1-2-3-4-5-6,,review import candidate before creation,Physical product/material candidate.
quote-942,942,product,HUME NEWINGTON 2040 x 820 (XN 16) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn-16-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn-16-clear-glaze:hume-newington-2040-x-820-xn-16-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-943,943,product,HUME NEWINGTON 2040 x 820 (XN 18) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn-18-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn-18-clear-glaze:hume-newington-2040-x-820-xn-18-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-944,944,product,HUME NEWINGTON 2040 x 820 (XN 6) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn-6-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn-6-clear-glaze:hume-newington-2040-x-820-xn-6-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-945,945,product,HUME NEWINGTON 2040 x 820 (XN1) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn1-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn1-clear-glaze:hume-newington-2040-x-820-xn1-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-946,946,product,"HUME NEWINGTON 2040 x 820 (XN2, 17) CLEAR GL",EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn2-17-clear-gl,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn2-17-clear-gl:hume-newington-2040-x-820-xn2-17-clear-gl,,review import candidate before creation,Physical product/material candidate.
quote-947,947,product,"HUME NEWINGTON 2040 x 820 (XN5, 7, 13) CLEAR",EACH,category:windows-doors,subcategory:hume-newington-2040-x-820-xn5-7-13-clear,windows-external-doors,Windows & External Doors,product:windows-doors:hume-newington-2040-x-820-xn5-7-13-clear:hume-newington-2040-x-820-xn5-7-13-clear,,review import candidate before creation,Physical product/material candidate.
quote-948,948,product,HUME SAVOY 2040 x 1200 (XS 26) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-savoy-2040-x-1200-xs-26-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-1200-xs-26-clear-glaze:hume-savoy-2040-x-1200-xs-26-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-949,949,product,HUME SAVOY 2040 x 1200 (XS24) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-savoy-2040-x-1200-xs24-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-1200-xs24-clear-glaze:hume-savoy-2040-x-1200-xs24-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-950,950,product,"HUME SAVOY 2040 x 820 (XS11,12) CLEAR GLAZE",EACH,category:windows-doors,subcategory:hume-savoy-2040-x-820-xs11-12-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-820-xs11-12-clear-glaze:hume-savoy-2040-x-820-xs11-12-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-951,951,product,HUME SAVOY 2040 x 820 (XS2),EACH,category:windows-doors,subcategory:hume-savoy-2040-x-820-xs2,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-820-xs2:hume-savoy-2040-x-820-xs2,,review import candidate before creation,Physical product/material candidate.
quote-952,952,product,"HUME SAVOY 2040 x 820 (XS24,26) CLEAR GLAZE",EACH,category:windows-doors,subcategory:hume-savoy-2040-x-820-xs24-26-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-820-xs24-26-clear-glaze:hume-savoy-2040-x-820-xs24-26-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-953,953,product,HUME SAVOY 2040 x 820 (XS3) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-savoy-2040-x-820-xs3-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2040-x-820-xs3-clear-glaze:hume-savoy-2040-x-820-xs3-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-954,954,product,HUME SAVOY 2340 x 1200 (XS 26) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-savoy-2340-x-1200-xs-26-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2340-x-1200-xs-26-clear-glaze:hume-savoy-2340-x-1200-xs-26-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-955,955,product,HUME SAVOY 2340 X 1200 (XS24) CLEAR GLAZE,EACH,category:windows-doors,subcategory:hume-savoy-2340-x-1200-xs24-clear-glaze,windows-external-doors,Windows & External Doors,product:windows-doors:hume-savoy-2340-x-1200-xs24-clear-glaze:hume-savoy-2340-x-1200-xs24-clear-glaze,,review import candidate before creation,Physical product/material candidate.
quote-956,956,product,"HUME VAUCLUSE 2040 x 820 (XV1, 10, 14)",EACH,category:windows-doors,subcategory:hume-vaucluse-2040-x-820-xv1-10-14,windows-external-doors,Windows & External Doors,product:windows-doors:hume-vaucluse-2040-x-820-xv1-10-14:hume-vaucluse-2040-x-820-xv1-10-14,,review import candidate before creation,Physical product/material candidate.
quote-958,958,product,HUME 820 x 35 EXTERIOR FLUSH PANEL,EACH,category:windows-doors,subcategory:hume-820-x-35-exterior-flush-panel,windows-external-doors,Windows & External Doors,product:windows-doors:hume-820-x-35-exterior-flush-panel:hume-820-x-35-exterior-flush-panel,,review import candidate before creation,Physical product/material candidate.
quote-959,959,product,HUME RC DOOR WITH 1/3 GLASS OPENING,EACH,category:windows-doors,subcategory:hume-rc-door-with-1-3-glass-opening,windows-external-doors,Windows & External Doors,product:windows-doors:hume-rc-door-with-1-3-glass-opening:hume-rc-door-with-1-3-glass-opening,,review import candidate before creation,Physical product/material candidate.
quote-962,962,product,100mm HIRLINE HINGES,EACH,category:windows-doors,subcategory:100mm-hirline-hinges,windows-external-doors,Windows & External Doors,product:windows-doors:100mm-hirline-hinges:100mm-hirline-hinges,,review import candidate before creation,Physical product/material candidate.
quote-963,963,product,GAINSBOROUGH SC KEY IN KNOB ENTRACE SET,EACH,category:windows-doors,subcategory:gainsborough-sc-key-in-knob-entrace-set,windows-external-doors,Windows & External Doors,product:windows-doors:gainsborough-sc-key-in-knob-entrace-set:gainsborough-sc-key-in-knob-entrace-set,,review import candidate before creation,Physical product/material candidate.
quote-964,964,product,GAINSBOROUGH TRILOCK,EACH,category:windows-doors,subcategory:gainsborough-trilock,windows-external-doors,Windows & External Doors,product:windows-doors:gainsborough-trilock:gainsborough-trilock,,review import candidate before creation,Physical product/material candidate.
quote-965,965,product,600mm CHROME PULL HANDLES,PAIR,category:cabinetry,subcategory:handles,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:handles:600mm-chrome-pull-handles,,review import candidate before creation,Physical product/material candidate.
quote-966,966,product,DEADLOCK AND SPRING CATCH,EACH,category:windows-doors,subcategory:deadlock-and-spring-catch,windows-external-doors,Windows & External Doors,product:windows-doors:deadlock-and-spring-catch:deadlock-and-spring-catch,,review import candidate before creation,Physical product/material candidate.
quote-967,967,product,RP4 WEATHER SEAL,EACH,category:windows-doors,subcategory:rp4-weather-seal,windows-external-doors,Windows & External Doors,product:windows-doors:rp4-weather-seal:rp4-weather-seal,,review import candidate before creation,Physical product/material candidate.
quote-968,968,product,DOUBLE RP4 WEATHER SEAL,EACH,category:windows-doors,subcategory:double-rp4-weather-seal,windows-external-doors,Windows & External Doors,product:windows-doors:double-rp4-weather-seal:double-rp4-weather-seal,,review import candidate before creation,Physical product/material candidate.
quote-1343,1343,product,FOW SLIDING DOOR UNIT,EACH,category:windows-doors,subcategory:fow-sliding-door-unit,windows-external-doors,Windows & External Doors,product:windows-doors:fow-sliding-door-unit:fow-sliding-door-unit,,review import candidate before creation,Physical product/material candidate.
quote-1344,1344,product,CAVITY SLIDING DOOR UNIT,EACH,category:windows-doors,subcategory:cavity-sliding-door-unit,windows-external-doors,Windows & External Doors,product:windows-doors:cavity-sliding-door-unit:cavity-sliding-door-unit,,review import candidate before creation,Physical product/material candidate.
quote-1345,1345,product,GAINSBOROUGH CONTRACTOR SERIES FURNITURE,SET,category:windows-doors,subcategory:gainsborough-contractor-series-furniture,windows-external-doors,Windows & External Doors,product:windows-doors:gainsborough-contractor-series-furniture:gainsborough-contractor-series-furniture,,review import candidate before creation,Physical product/material candidate.
quote-1346,1346,product,ADD FOR PRIVACY SET,EACH,category:windows-doors,subcategory:add-for-privacy-set,windows-external-doors,Windows & External Doors,product:windows-doors:add-for-privacy-set:add-for-privacy-set,,review import candidate before creation,Physical product/material candidate.
quote-1347,1347,product,SLIDING DOOR HANDLES,EACH,category:cabinetry,subcategory:handles,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:handles:sliding-door-handles,,review import candidate before creation,Physical product/material candidate.
quote-1093,1093,product,FACE BRICKS - BASE RANGE,1000,category:external-cladding,subcategory:face-bricks-base-range,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:face-bricks-base-range:face-bricks-base-range,,review import candidate before creation,Physical product/material candidate.
quote-1094,1094,product,FACE BRICKS - MID RANGE,1000,category:external-cladding,subcategory:face-bricks-mid-range,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:face-bricks-mid-range:face-bricks-mid-range,,review import candidate before creation,Physical product/material candidate.
quote-1096,1096,product,COMMON SINGLE HEIGHTS,1000,category:external-cladding,subcategory:common-single-heights,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:common-single-heights:common-single-heights,,review import candidate before creation,Physical product/material candidate.
quote-1097,1097,product,COMMON TWIN HEIGHTS,1000,category:external-cladding,subcategory:common-twin-heights,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:common-twin-heights:common-twin-heights,,review import candidate before creation,Physical product/material candidate.
quote-1098,1098,product,ADD BRICKS FOR PIERS ETC,1000,category:external-cladding,subcategory:add-bricks-for-piers-etc,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:add-bricks-for-piers-etc:add-bricks-for-piers-etc,,review import candidate before creation,Physical product/material candidate.
quote-1099,1099,product,ADD BRICKS FOR SILLS,1000,category:external-cladding,subcategory:add-bricks-for-sills,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:add-bricks-for-sills:add-bricks-for-sills,,review import candidate before creation,Physical product/material candidate.
quote-1100,1100,product,200 SERIES BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks:200-series-blocks,,review import candidate before creation,Physical product/material candidate.
quote-1101,1101,product,200 SERIES BLOCKS 3/4 BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks-3-4-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks-3-4-blocks:200-series-blocks-3-4-blocks,,review import candidate before creation,Physical product/material candidate.
quote-1102,1102,product,200 SERIES BLOCKS - HALVE BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks-halve-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks-halve-blocks:200-series-blocks-halve-blocks,,review import candidate before creation,Physical product/material candidate.
quote-1103,1103,product,"MORTAR MIX (SAND, CEMENT ETC.)",M3,category:external-cladding,subcategory:mortar-mix-sand-cement-etc,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:mortar-mix-sand-cement-etc:mortar-mix-sand-cement-etc,,review import candidate before creation,Physical product/material candidate.
quote-1104,1104,product,M12 ROD,EACH,category:external-cladding,subcategory:m12-rod,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:m12-rod:m12-rod,,review import candidate before creation,Physical product/material candidate.
quote-1106,1106,product,BRICKY HARDWARE,ITEM,category:external-cladding,subcategory:bricky-hardware,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:bricky-hardware:bricky-hardware,,review import candidate before creation,Physical product/material candidate.
quote-1157,1157,product,LINEAL BLOCKWORK,LM,category:external-cladding,subcategory:lineal-blockwork,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:lineal-blockwork:lineal-blockwork,,review import candidate before creation,Physical product/material candidate.
quote-1160,1160,product,RENDER BRICKWORK,M2,category:external-cladding,subcategory:render-brickwork,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:render-brickwork:render-brickwork,,review import candidate before creation,Physical product/material candidate.
quote-1161,1161,product,LINEAL BRICKWORK,LM,category:external-cladding,subcategory:lineal-brickwork,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:lineal-brickwork:lineal-brickwork,,review import candidate before creation,Physical product/material candidate.
quote-1367,1367,product,ROBE SHELVING - 1 SHELF & RAIL,LM,category:cabinetry,subcategory:shelving,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:shelving:robe-shelving-1-shelf-and-rail,,review import candidate before creation,Physical product/material candidate.
quote-1368,1368,product,ROBE - 1 FULL SHELF & RAIL & BANK OF SHELVES,EACH,category:cabinetry,subcategory:shelving,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:shelving:robe-1-full-shelf-and-rail-and-bank-of-shelves,,review import candidate before creation,Physical product/material candidate.
quote-1391,1391,product,MIRROR DOORS,EACH,category:windows-doors,subcategory:mirror-doors,windows-external-doors,Windows & External Doors,product:windows-doors:mirror-doors:mirror-doors,,review import candidate before creation,Physical product/material candidate.
quote-1393,1393,product,SUPERWHITE GLASS,EACH,category:windows-doors,subcategory:superwhite-glass,windows-external-doors,Windows & External Doors,product:windows-doors:superwhite-glass:superwhite-glass,,review import candidate before creation,Physical product/material candidate.
quote-1400,1400,product,MIRROR DOORS,EACH,category:windows-doors,subcategory:mirror-doors,windows-external-doors,Windows & External Doors,product:windows-doors:mirror-doors:mirror-doors,,review import candidate before creation,Physical product/material candidate.
quote-1402,1402,product,SUPERWHITE GLASS,EACH,category:windows-doors,subcategory:superwhite-glass,windows-external-doors,Windows & External Doors,product:windows-doors:superwhite-glass:superwhite-glass,,review import candidate before creation,Physical product/material candidate.
quote-1409,1409,product,MIRROR DOORS,EACH,category:windows-doors,subcategory:mirror-doors,windows-external-doors,Windows & External Doors,product:windows-doors:mirror-doors:mirror-doors,,review import candidate before creation,Physical product/material candidate.
quote-1411,1411,product,SUPERWHITE GLASS,EACH,category:windows-doors,subcategory:superwhite-glass,windows-external-doors,Windows & External Doors,product:windows-doors:superwhite-glass:superwhite-glass,,review import candidate before creation,Physical product/material candidate.
quote-1418,1418,product,MIRROR DOORS,EACH,category:windows-doors,subcategory:mirror-doors,windows-external-doors,Windows & External Doors,product:windows-doors:mirror-doors:mirror-doors,,review import candidate before creation,Physical product/material candidate.
quote-1420,1420,product,SUPERWHITE GLASS,EACH,category:windows-doors,subcategory:superwhite-glass,windows-external-doors,Windows & External Doors,product:windows-doors:superwhite-glass:superwhite-glass,,review import candidate before creation,Physical product/material candidate.
quote-1430,1430,product,UPGRADE TO STONE TOPS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-stone-tops,,review import candidate before creation,Physical product/material candidate.
quote-1431,1431,product,UPGRADE TO 2 PAC DOORS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-2-pac-doors,,review import candidate before creation,Physical product/material candidate.
quote-1434,1434,product,UPGRADE TO STONE TOPS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-stone-tops,,review import candidate before creation,Physical product/material candidate.
quote-1435,1435,product,UPGRADE TO 2 PAC DOORS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-2-pac-doors,,review import candidate before creation,Physical product/material candidate.
quote-1438,1438,product,UPGRADE TO STONE TOPS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-stone-tops,,review import candidate before creation,Physical product/material candidate.
quote-1439,1439,product,UPGRADE TO 2 PAC DOORS,ITEM,category:cabinetry,subcategory:cabinet-units-components,cabinetry-joinery,Cabinetry & Joinery,product:cabinetry:cabinet-units-components:upgrade-to-2-pac-doors,,review import candidate before creation,Physical product/material candidate.
quote-1445,1445,product,MICROWAVE CUPBOARD,EACH,category:appliances,subcategory:microwaves,appliances,Appliances,product:appliances:microwaves:microwave-cupboard,,review import candidate before creation,Physical product/material candidate.
